id,type,subtype,name,rank,slash,crush,pierce,blaze,freeze,spark,divine,parent,skill,cost,prereq,materials
M-SB-063,Melee,Short Blade,Poison Pickaxe II,3,42,0,98,0,0,0,0,M-SB-062,Toxic Power II,664,M-SB-062,Avian Claw:1|Impure Jewel Steel:1|Tainted Metal:1|Poison Extract:1
M-SB-064,Melee,Short Blade,Poison Pickaxe N,5,65,0,154,0,0,0,0,M-SB-063,Toxic Power III,3360,M-SB-063,Knight Armor:1|Knight Prickle:1|Poison Extract:1|Knight Redstone:1
M-SB-065,Melee,Short Blade,Poison Pickaxe X,6,75,0,178,0,0,0,0,M-SB-064,Toxic Power IV,4160,M-SB-064,Raven Mask:1|Knight Needle:2|Plastic:1|Meteorite Silver:1|Mistle:1
M-SB-066,Melee,Short Blade,Cursed Pickaxe,8,99,0,234,0,0,0,0,M-SB-065,"Toxic Power IV, La Reine des Neiges I",8800,M-SB-065,Avian Talon:1|Knight Needle:1|Knight Redstone:1|Poison Metal:1|Yaksha Cop:1
M-SB-067,Melee,Short Blade,Cursed Pickaxe II,11,131,0,310,0,0,0,0,M-SB-066,"Toxic Power IV, La Reine des Neiges II",16000,M-SB-066,Raven Spark Mask:1|Avian Talon:1|Knight Redstone:1|Knight Needle:2|Venom Metal:1
M-SB-068,Melee,Short Blade,Cursed Pickaxe N,13,144,0,340,0,0,0,0,M-SB-067,"Toxic Power IV, La Reine des Neiges III",52000,M-SB-067,Prince's Pin:1|Avian Talon:1|Prince's Soul:1|Prince's Sanctum:1|Venom Metal:1
M-SB-069,Melee,Short Blade,Cursed Pickaxe EX,14,149,0,352,0,0,0,0,M-SB-068,"Toxic Power IV, La Reine des Neiges IV",96000,M-SB-068,Generic Compound Core:1
M-SB-070,Melee,Short Blade,Heat Drill,2,15,0,87,1,0,0,0,-,Cherry Petal Dance I,560,-,Ogre Fang:1|Weak Tool Steel:1|Blaze Stone:1
M-SB-071,Melee,Short Blade,Heat Drill II,4,28,0,162,1,0,0,0,M-SB-070,Cherry Petal Dance II,2800,M-SB-070,Weak Tool Steel:1|Wyrm Armor:1|Wyrm Fin:1|Hot Barrel:1
M-SB-072,Melee,Short Blade,Heat Drill N,6,38,0,221,1,0,0,0,M-SB-071,Cherry Petal Dance III,4160,M-SB-071,Wyrm Armor:2|Wyrm Horn:2|Tool Steel:1|King Armor+:1|Hot Barrel:1
M-SB-073,Melee,Short Blade,Heat Drill X,7,45,0,266,1,0,0,0,M-SB-072,Cherry Petal Dance IV,7760,M-SB-072,Blaze Knight Prickle:1|Fine Lubricant:1|Blaze Knight Redstone:1|Blaze Ogre Tooth:1|Infernal Ogre Cowl:1
M-SB-074,Melee,Short Blade,Lava Drill,9,57,0,331,1,0,0,0,M-SB-073,"Cherry Petal Dance IV, Insight I",9600,M-SB-073,Wyrm Blaze Horn:2|Draconic Tallow:1|Wyrm Amethyst:1|Blaze Knight Needle:1|Blaze Knight Soft Steel:2
M-SB-075,Melee,Short Blade,Lava Drill II,11,66,0,385,1,0,0,0,M-SB-074,"Cherry Petal Dance IV, Insight II",16000,M-SB-074,Inferno Barrel:2|Serpent Blaze Helm:1|Serpent Blaze Horn:1|Cinder Crystal:1|Oracle Blaze Stone:1
M-SB-076,Melee,Short Blade,Lava Drill N,13,72,0,422,1,0,0,0,M-SB-075,"Cherry Petal Dance IV, Insight III",52000,M-SB-075,Phantom Armor:2|Serpent Blaze Helm:1|Phantom Horn:1|Flaming Crystal:1|Oracle Blaze Stone:1
M-SB-077,Melee,Short Blade,Lava Drill EX,14,75,0,437,1,0,0,0,M-SB-076,"Cherry Petal Dance IV, Insight IV",96000,M-SB-076,Generic Compound Core:1
M-SB-078,Melee,Short Blade,Spark Drill,8,50,0,284,1,0,1,0,M-SB-073,"Cherry Petal Dance IV, Insight I",8800,M-SB-073,Chimera Spark Claw:1|Hanuman Mask:1|Simian Armor+:1|Hanuman Femur:2|Volt Generator:1
M-SB-079,Melee,Short Blade,Spark Drill II,9,57,0,323,1,0,1,0,M-SB-078,"Cherry Petal Dance IV, Insight II",9600,M-SB-078,Spark Knight Armor+:2|Hanuman Mask:1|Hanuman Amethyst:1|Hanuman Femur:2|High Conductor:1
M-SB-080,Melee,Short Blade,Spark Drill N,12,68,0,388,1,0,1,0,M-SB-079,"Cherry Petal Dance IV, Insight III",40800,M-SB-079,Ares Alloy:2|Howler Ambrosia:1|Howler Plumage:1|Ares Grease:1|Oracle Spark Stone:1
M-SB-081,Melee,Short Blade,Spark Drill EX,14,75,0,426,1,0,1,0,M-SB-080,"Cherry Petal Dance IV, Insight IV",96000,M-SB-080,Generic Compound Core:1
M-SB-082,Melee,Short Blade,Wild Sword: Yang,2,31,0,72,0,0,0,0,-,Binder I,560,-,Avian Wing:1|Avian Mask:1|Avian Flesh:1
M-SB-083,Melee,Short Blade,Wild Sword: Yang II,3,43,0,101,0,0,0,0,M-SB-082,Binder II,664,M-SB-082,Avian Claw:1|Chimera Fang:1|Tainted Metal:1
M-SB-084,Melee,Short Blade,Wild Sword: Yang N,4,57,0,135,0,0,0,0,M-SB-083,Binder III,2800,M-SB-083,Avian Talon:1|Avian Limb:1|Avian Tendon:1|Poison Metal:1
M-SB-085,Melee,Short Blade,Wild Sword: Laoyang,6,78,0,183,0,0,0,0,M-SB-084,Binder IV,4160,M-SB-084,Avian Talon:1|Avian Limb:1|Avian Mask:1|Chimera Claw:1|Poison Metal:1
M-SB-086,Melee,Short Blade,Wild Sword: Laoyang II,8,103,0,241,0,0,0,0,M-SB-085,Binder V,8800,M-SB-085,Avian Talon:1|Avian Flyer:1|Avian Cover:1|Chimera Spark Claw:1|Venom Metal:1
M-SB-087,Melee,Short Blade,Wild Sword: Laoyang N,11,136,0,319,0,0,0,0,M-SB-086,"Binder V, Decline I",16000,M-SB-086,Avian Talon:1|Avian Flyer:1|Avian Cover:1|Chimera Femur:1|Venom Metal:1
M-SB-088,Melee,Short Blade,Wild Sword: Laoyang X,13,149,0,350,0,0,0,0,M-SB-087,"Binder V, Decline II",52000,M-SB-087,Avian Talon:1|Avian Flyer:1|Chimera Spark Fang:1|Chimera Storm Claw:1|Super Poison Metal:1
M-SB-089,Melee,Short Blade,Wild Sword: Laoyang EX,14,154,0,362,0,0,0,0,M-SB-088,"Binder V, Decline III",96000,M-SB-088,Generic Compound Core:1
M-SB-090,Melee,Short Blade,Tigerclaw,3,94,0,39,0,0,2,0,-,Polished Offense I,830,-,Chimera Fur:1|Chimera Skull:1|Chimera Wing:1
M-SB-091,Melee,Short Blade,Tigerclaw II,4,133,0,55,0,0,2,0,M-SB-090,Polished Offense II,2800,M-SB-090,Chimera Spark Fur:1|Chimera Spark Skull:1|Chimera Tusk:1|Generator:1
M-SB-092,Melee,Short Blade,Tigerclaw N,6,180,0,75,0,0,2,0,M-SB-091,Polished Offense III,4160,M-SB-091,Emperor Mane:1|Emperor Skull:1|Emperor Tusk:1|Generator:1|Spark Crystal:1
M-SB-093,Melee,Short Blade,Royal Tigerclaw,7,218,0,91,0,0,2,0,M-SB-092,Polished Offense IV,7760,M-SB-092,Emperor Mane:1|Emperor Claw:1|Chimera Tusk:1|Chimera Spark Claw:1|Oracle Spark Stone:1
M-SB-094,Melee,Short Blade,Royal Tigerclaw II,10,302,0,126,0,0,2,0,M-SB-093,"Polished Offense IV, Buildup I",13600,M-SB-093,Chimera Spark Fang:1|Chimera Femur:1|Imperial Claw:1|Volt Generator:1|Oracle Spark Stone:1
M-SB-095,Melee,Short Blade,Royal Tigerclaw N,11,314,0,131,0,0,2,0,M-SB-094,"Polished Offense IV, Buildup II",16000,M-SB-094,Chimera Spark Claw:1|Chimera Spark Skull:1|Chimera Redstone:1|Imperial Claw:1|Emperor Claw:1
M-SB-096,Melee,Short Blade,Royal Tigerclaw X,13,345,0,144,0,0,2,0,M-SB-095,"Polished Offense IV, Buildup III",52000,M-SB-095,Chimera Spark Skull:1|Chimera Storm Claw:1|Chimera Ametyst:1|Chimera Storm Fur:1|Oracle Spark Crystal
M-SB-097,Melee,Short Blade,Royal Tigertail EX,14,357,0,149,0,0,2,0,M-SB-096,"Polished Offense IV, Buildup IV",96000,M-SB-096,Generic Compound Core:1
M-SB-098,Melee,Short Blade,Queen Tigerclaw,6,183,0,78,0,1,0,0,M-SB-091,Polished Offense III,4160,M-SB-091,Royal Fang:1|Royal Wing:1|Chimera Tusk:1|Conductor:1|Freeze Crystal
M-SB-099,Melee,Short Blade,Queen Tigerclaw II,7,221,0,94,0,1,0,0,M-SB-098,Polished Offense IV,7760,M-SB-098,Royal Wing:1|Royal Fang:1|Chimera Tusk:1|Royal Filigree:1|Oracle Freeze Stone:1
M-SB-100,Melee,Short Blade,Queen Tigerclaw N,9,275,0,117,0,1,0,0,M-SB-099,"Polished Offense IV, Buildup I",9600,M-SB-099,Royal Fang:1|Chimera Femur:1|Imperial Claw:1|High Conductor:1|Oracle Freeze Stone
M-SB-101,Melee,Short Blade,Queen Tigerclaw X,11,319,0,136,0,1,0,0,M-SB-100,"Polished Offense IV, Buildup II",16000,M-SB-100,Royal Redstone:1|Empress Fang:1|Chimera Redstone:1|Imperial Claw:1|Emperor Fang:1
M-SB-102,Melee,Short Blade,Queen Tigerclaw V,13,350,0,149,0,1,0,0,M-SB-101,"Polished Offense IV, Buildup III",52000,M-SB-101,Royal Frame:1|Royal Crystal Wing:1|Royal Amethyst:1|Emperor Incisor:1|Oracle Freeze Stone:1
M-SB-103,Melee,Short Blade,Queen Tigerclaw EX,14,362,0,154,0,1,0,0,M-SB-102,"Polished Offense IV, Buildup IV",96000,M-SB-102,Generic Compound Core:1
M-SB-104,Melee,Short Blade,Paige,3,0,0,134,0,0,0,0,-,Best Works I,830,-,Knight Prickle:1|Lubricant:1|Knight Armor:1
M-SB-105,Melee,Short Blade,Paige II,4,0,0,188,0,0,0,0,M-SB-104,Best Works II,2800,M-SB-104,Knight Needle:1|Angel Fang:1|Knight Armor:1|Lubricant:1
M-SB-106,Melee,Short Blade,Paige N,5,0,0,222,0,0,0,0,M-SB-105,Best Works IV,3360,M-SB-105,Knight Needle:1|Knight Armor:1|Blaze Knight Prickle:1|Spark Knight Prickle:1|Duralumin Steel:1
M-SB-107,Melee,Short Blade,Chevalier,7,0,0,308,0,0,0,0,M-SB-106,"Best Works IV, Polished Defense I",7760,M-SB-106,Spark Knight Iron:1|Blaze Knight Prickle:1|Spark Knight Armor:1|Blaze Knight Armor:1|Hardener:1
M-SB-108,Melee,Short Blade,Chevalier II,10,0,0,429,0,0,0,0,M-SB-107,"Best Works IV, Polished Defense II",13600,M-SB-107,Fortifier:1|Knight Armor:1|Fine Lubricant:1|Prince's Soul:1|Prince's Pin:1
M-SB-109,Melee,Short Blade,Chevalier N,12,0,0,461,0,0,0,0,M-SB-108,"Best Works IV, Polished Defense III",40800,M-SB-108,Knight Redstone:1|Blaze Knight Soft Steel:1|Spark Knight Steel:1|Prince's Pin:1|Prince's Soul
M-SB-110,Melee,Short Blade,Chevalier EX,14,0,0,506,0,0,0,0,M-SB-109,"Best Works IV, Polished Defense IV",96000,M-SB-109,Generic Compound Core:1
M-SB-111,Melee,Short Blade,Paige Spark,5,0,0,222,0,0,1,0,M-SB-105,Best Works III,3360,M-SB-105,Spark Knight Armor:1|Spark Knight Prickle:1|Spark Knight Iron:1|Hardener:1
M-SB-112,Melee,Short Blade,Paige Spark II,6,0,0,256,0,0,1,0,M-SB-111,Best Works IV,4160,M-SB-111,Spark Knight Armor:1|Spark Knight Prickle:1|Magnetic Steel:1|Hardener:1|Knight Redstone:1
M-SB-113,Melee,Short Blade,Sparking Chevalier,8,0,0,337,0,0,1,0,M-SB-112,"Best Works IV, Polished Defense I",8800,M-SB-112,Spark Knight Armor+:1|Spark Knight Needle:1|Spark Knight Redstone:1|Spark Knight Shield:1|Fine Lubricant:1
M-SB-114,Melee,Short Blade,Sparking Chevalier II,9,0,0,384,0,0,1,0,M-SB-113,"Best Works IV, Polished Defense II",9600,M-SB-113,Spark Knight God Needle:2|Spark Knight Ambrosia:1|Spark Knight Armor+:1|Spark Knight Armor:1|Spark Knight Soft Steel:1
M-SB-115,Melee,Short Blade,Sparking Chevalier N,12,0,0,461,0,0,1,0,M-SB-114,"Best Works IV, Polished Defense III",40800,M-SB-114,Fortifier:1|Spark Knight God Needle:1|Fine Lubricant:1|Prince's Spirit:1|Prince's Thorn:1
M-SB-116,Melee,Short Blade,Sparking Chevalier X,13,0,0,489,0,0,1,0,M-SB-115,"Best Works IV, Polished Defense IV",52000,M-SB-115,Spark Knight Steel:1|Spark Knight God Needle:1|Prince's Soul:1|Prince's Pin:1|Oracle Spark Crystal:1
M-SB-117,Melee,Short Blade,Sparking Chevalier EX,14,0,0,506,0,0,1,0,M-SB-116,"Best Works IV, Polished Defense IV",96000,M-SB-116,Generic Compound Core:1
M-SB-118,Melee,Short Blade,Paige Blaze,5,0,0,222,1,0,0,0,M-SB-105,Best Works III,3360,M-SB-105,Blaze Knight Armor:1|Blaze Knight Prickle:1|Blaze Knight Shield:1|Hardener:1
M-SB-119,Melee,Short Blade,Paige Blaze II,6,0,0,256,1,0,0,0,M-SB-118,Best Works IV,4160,M-SB-118,Blaze Knight Armor:1|Blaze Knight Prickle:1|Knight Armor:1|Knight Redstone:1|Blaze Crystal:1
M-SB-120,Melee,Short Blade,Blazing Chevalier,8,0,0,337,1,0,0,0,M-SB-119,"Best Works IV, Polished Defense I",8800,M-SB-119,Blaze Knight Armor+:2|Blaze Knight Amethyst:1|Blaze Knight Soft Steel:2|Blaze Knight Redstone:1
M-SB-121,Melee,Short Blade,Blazing Chevalier II,10,0,0,429,1,0,0,0,M-SB-120,"Best Works IV, Polished Defense II",13600,M-SB-120,Blaze Knight Needle:2|Fine Lubricant:1|Blaze Knight Amethyst:1|Blaze Knight Shield:2|Blaze Knight Soft Steel:1
M-SB-122,Melee,Short Blade,Blazing Chevalier N,11,0,0,446,1,0,0,0,M-SB-121,"Best Works IV, Polished Defense III",16000,M-SB-121,Fortifier:1|Blaze Knight Lance:1|Blaze Knight Amethyst:1|Prince's Spirit:1|Prince's Thorn:1
M-SB-123,Melee,Short Blade,Blazing Chevalier EX,14,0,0,506,1,0,0,0,M-SB-122,"Best Works IV, Polished Defense IV",96000,M-SB-122,Generic Compound Core:1